id,Name,Adress,Name_of_the_Street,same_as_wikidata_Name_of_the_street,Type_of_road,URL,Only_for_Subs,Total_Parking_Spots,PRM_Spots,Electric_Spots,Bicycle_Spots,Maximum_Height,CoordenadaX,CoordenadaY,Tarif_1h,Tarif_2h,Tarif_3h,Tarif_4h,Tarif_24h,District,same_as_wikidata_District,Phone,Elevator,MonthlySubCar,AnnualSubCar,MonthlySubPRM,AnnualSubPRM,MothlySubElectric,AnnualSubElectric,MonthlySubMoto,AnnualSubMoto,MonthlySubBicl,Tarif_15mn Moto,Tarif_30mn Moto,Tarif_24h Moto
75117-P-011,CARNOT,"14 ter avenue carnot, 75017, Paris",avenue Carnot,https://wikidata.org/entity/Q2873553,avenue,https://www.saemes.fr/fr/parking/parking-carnot,False,398,0,0,0,190,229.327.733,4.887.597.062,4.4,8.8,13.2,17.6,39.6,17,https://wikidata.org/entity/Q197297,144829999,True,250,2500,-1,-1,125,1250,87,875,10,0.4,0.75,13.05
75101-P-008,LES HALLES ST EUSTACHE,"22 rue des halles, 75001, Paris",Rue des Halles,https://wikidata.org/entity/Q3451857,street,https://www.saemes.fr/fr/parking/parking-les-halles-st-eustache,False,360,5,2,41,185,234.596.398,4.886.068.216,4.5,9,13.5,18,40.5,1,https://wikidata.org/entity/Q161741,142365737,True,275,2750,137.5,1375,137.5,1375,96.3,963,18,0.4,0.8,13.95
75116-P-059,VICTOR HUGO POMPE,"122 avenue victor hugo, 75016, Paris",avenue Victor-Hugo,https://wikidata.org/entity/Q790581,avenue,https://fr.parkindigo.com/parking/paris-75016/victor-hugo-pompe-75160100,False,485,0,0,0,190,228.073.239,4.886.778.257,5,10,15,20,45,16,https://wikidata.org/entity/Q194420,141720260,False,348,3619,174,1809,174,1809,121,1266,10,0.45,0.9,15.75
75110-P-130,FRANZ LISZT,"32 ter rue des petits hotels, 75010, Paris",rue des Petits-Hôtels,https://wikidata.org/entity/Q3451962,street,https://fr.parkindigo.com/parking/paris-75010/franz-liszt-75100300,False,287,5,0,4,190,235.265.508,4.887.756.471,5,10,15,20,45,10,https://wikidata.org/entity/Q163948,141720265,True,259,2693,-1,-1,-1,-1,90,942,-1,-1,-1,-1
75112-P-100,VAN GOGH,"203 ter rue de bercy, 75012, Paris",Rue de Bercy,https://wikidata.org/entity/Q3450576,street,https://www.saemes.fr/fr/parking/parking-van-gogh,True,183,0,0,0,260,237.185.347,4.884.467.523,-1,-1,-1,-1,-1,12,https://wikidata.org/entity/Q171689,144829999,True,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
75116-P-022,PORTE D AUTEUIL,"6 ter avenue du general sarrail, 75016, Paris",avenue du Général-Sarrail,https://wikidata.org/entity/Q2874160,avenue,https://www.saemes.fr/fr/parking/parking-porte-dauteuil,False,1117,28,237,50,185,225.617.101,488.465.712,4.3,8.6,12.9,17.2,38.7,16,https://wikidata.org/entity/Q194420,146519018,True,159,1590,79.5,795,119.3,1193,55.7,557,11.3,0.4,0.8,13.5
75112-P-101,MEDITERRANEE,"40 rue de chalon, 75012, Paris",rue de Chalon,https://wikidata.org/entity/Q3450644,street,https://www.saemes.fr/fr/parking/parking-mediterranee-gare-de-lyon,False,1450,15,4,25,190,237.574.679,4.884.497.657,5.1,10.2,15.3,20.4,40.8,12,https://wikidata.org/entity/Q171689,143074858,True,310,3100,155,1550,155,1550,108.5,1085,10,0.45,0.9,14
75110-P-028,MAGENTA GARE DE L EST,"8 ter square alban satragne, 75010, Paris",square Alban-Satragne,https://wikidata.org/entity/Q3494445,square,https://fr.parkindigo.com/parking/paris-75010/alban-satragne-magenta-75100900,False,683,16,335,40,190,235.529.967,488.756.675,4.6,9.2,13.8,18.4,41.4,10,https://wikidata.org/entity/Q163948,147702536,True,263,2735,131,1367,131,1367,92,957,10,0.4,0.8,14.4
94080-P-156,MARIGNY CHATEAU,"10 cours marigny, 94300, Paris",Cours Marigny,https://wikidata.org/entity/Q100436354,cours,https://fr.parkindigo.com/parking/vincennes-94300/marigny-chateau-94120700,False,592,13,4,15,190,243.953.727,4.884.535.357,1.65,3.3,4.95,6.6,14.85,12,https://wikidata.org/entity/Q171689,143749643,True,105,1050,52.5,525,52.5,525,35,350,10,0.1,0.25,4.95
75111-P-080,ROQUETTE,"16 bis rue servan, 75011, Paris",rue Servan,https://wikidata.org/entity/Q3450052,street,https://www.saemes.fr/fr/parking/parking-roquette,True,278,0,0,0,190,238.370.585,4.885.986.034,-1,-1,-1,-1,-1,11,https://wikidata.org/entity/Q169293,144829999,False,-1,-1,54,-1,-1,-1,48,480,-1,-1,-1,-1
75118-P-078,MARCADET,"142 a rue marcadet, 75018, Paris",Rue Marcadet,https://wikidata.org/entity/Q2148907,street,https://www.saemes.fr/fr/parking/parking-marcadet,True,135,0,0,0,200,233.901.161,4.889.130.624,-1,-1,-1,-1,-1,18,https://wikidata.org/entity/Q200126,144829999,False,-1,-1,-1,1030,-1,-1,83,830,-1,-1,-1,-1
75113-P-153,UNIVERSITE DIDEROT (RIVE GAUCHE),"29 quater rue thomas mann, 75013, Paris",rue Thomas-Mann,https://wikidata.org/entity/Q3450144,street,https://fr.parkindigo.com/parking/paris-75013/universite-diderot-75131200,False,498,12,4,16,190,237.890.733,4.882.943.342,3.6,7.2,10.8,14.4,32.4,13,https://wikidata.org/entity/Q175129,144066050,True,193,2007,96,1003,96,1003,67,702,10,0.35,0.65,11.25
75116-P-122,DELESSERT,"11 rue beethoven, 75016, Paris",rue Beethoven,https://wikidata.org/entity/Q3447110,street,https://www.saemes.fr/fr/parking/parking-delessert,True,254,0,0,0,195,228.700.102,488.586.523,-1,-1,-1,-1,-1,16,https://wikidata.org/entity/Q194420,144829999,False,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
75101-P-052,PYRAMIDES,"14 ter rue des pyramides, 75001, Paris",rue des Pyramides,https://wikidata.org/entity/Q3451996,street,https://www.saemes.fr/fr/parking/parking-louvre-pyramides,False,578,12,8,18,190,233.318.657,4.886.512.039,4.6,9.2,13.8,18.4,41.4,1,https://wikidata.org/entity/Q161741,147030288,True,290,2900,145,1450,145,1450,101.5,1015,12,0.4,0.8,14.4
75116-P-016,PASSY,"82 ter rue de passy, 75016, Paris",rue de Passy,https://wikidata.org/entity/Q1299740,street,https://fr.parkindigo.com/parking/paris-75016/passy-75161100,False,351,8,3,20,190,22.753.247,4.885.819.322,4.8,9.6,14.4,19.2,43.2,16,https://wikidata.org/entity/Q194420,141720260,True,400,4160,200,2080,200,2080,140,1456,10,0.45,0.85,14.85
75112-P-164,VELOSTATION VAN GOGH,"4 m rue van gogh, 75012, Paris",rue Van-Gogh,https://wikidata.org/entity/Q3450227,street,https://www.saemes.fr/fr/parking/velostation-van-gogh,True,0,0,0,198,230,237.125.675,4.884.369.509,-1,-1,-1,-1,-1,12,https://wikidata.org/entity/Q171689,144829999,False,-1,-1,-1,-1,-1,-1,-1,-1,10,-1,-1,-1
75116-P-140,MARCEAU ETOILE,"75 ter avenue marceau, 75016, Paris",avenue Marceau,https://wikidata.org/entity/Q2873767,avenue,https://www.q-park.fr/fr-fr/villes/paris/marceau-champs-elysées/,False,503,10,2,0,190,229.688.532,4.887.147.207,6.3,12.6,18.9,25.2,50.4,16,https://wikidata.org/entity/Q194420,140701010,True,368,3545,-1,-1,145,1740,168,1312,-1,-1,-1,-1
75106-P-135,SAINT PLACIDE,"33 ter rue saint placide, 75006, Paris",rue Saint-Placide,https://wikidata.org/entity/Q3449958,street,https://www.q-park.fr/fr-fr/villes/paris/saint-placide-sèvres-rue-de-rennes/,True,207,5,0,0,190,232.569.223,4.884.861.163,-1,-1,-1,-1,-1,6,https://wikidata.org/entity/Q245546,140701010,True,-1,-1,-1,-1,-1,-1,195,2340,-1,-1,-1,-1
75105-P-085,POLIVEAU,"39 bis rue poliveau, 75005, Paris",rue Poliveau,https://wikidata.org/entity/Q3449590,street,https://www.saemes.fr/fr/parking/parking-poliveau,True,57,0,0,0,190,235.755.955,4.883.985.185,-1,-1,-1,-1,-1,5,https://wikidata.org/entity/Q238723,144829999,False,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
75118-P-038,PORTE DE CLIGNANCOURT,"20 ter avenue de la porte de clignancourt, 75018, Paris",avenue de la Porte-de-Clignancourt,https://wikidata.org/entity/Q2874027,avenue,https://www.sags.fr/parking-paris/paris-porte-de-clignancourt.html,False,508,11,4,20,190,234.452.756,4.889.960.751,3.8,7.6,11.4,15.2,34.2,18,https://wikidata.org/entity/Q200126,142640382,True,136,1360,-1,-1,95.5,955,47.6,476,10,0.3,0.65,11.7
75115-P-165,VELOSTATION GARE MONTPARNASSE,"22 m rue de l arrivee, 75015, Paris",rue de l'Arrivée,https://wikidata.org/entity/Q3451220,street,https://fr.parkindigo.com/parking/paris-75015/velostation-gare-montparnasse-75150800,True,0,0,0,340,230,232.100.915,4.884.267.019,-1,-1,-1,-1,-1,15,https://wikidata.org/entity/Q191066,145484330,False,-1,-1,-1,-1,-1,-1,-1,-1,10,-1,-1,-1
75104-P-007,HOTEL DE VILLE,"6 ter quai de gesvres, 75004, Paris",quai de Gesvres,https://wikidata.org/entity/Q3412682,quay,https://www.saemes.fr/fr/parking/parking-hotel-de-ville,False,455,10,27,17,180,2.349.561,4.885.658.712,4.4,8.8,13.2,17.6,39.6,4,https://wikidata.org/entity/Q230127,142715196,True,280,2800,140,1400,140,1400,98,980,18,0.4,0.8,13.5
75117-P-123,WAGRAM COURCELLES,"103 ter rue jouffroy d abbans, 75017, Paris",rue Jouffroy-d'Abbans,https://wikidata.org/entity/Q3448601,street,https://fr.parkindigo.com/parking/paris-75017/wagram-courcelles-75170700,False,564,5,0,0,190,230.128.819,4.888.189.715,5.2,10.4,15.6,20.8,46.8,17,https://wikidata.org/entity/Q197297,141720271,True,338,3515,-1,-1,-1,-1,122,1268,-1,-1,-1,-1
75117-P-036,TERNES,"4 ter avenue des ternes, 75017, Paris",avenue des Ternes,https://wikidata.org/entity/Q2874125,avenue,https://fr.parkindigo.com/parking/paris-75017/ternes-75172100,False,1086,23,3,0,185,229.685.646,4.887.815.862,4.6,9.2,13.8,18.4,41.4,17,https://wikidata.org/entity/Q197297,141720271,True,259,2693,129,1346,129,1346,90,942,10,0.4,0.8,14.4
75105-P-009,POLYTECHNIQUE,"13 ter rue jacques henri lartigue, 75005, Paris",rue Jacques-Henri-Lartigue,https://wikidata.org/entity/Q3448398,street,https://www.saemes.fr/fr/parking/parking-polytechnique,True,246,0,0,0,190,235.100.115,4.884.701.415,-1,-1,-1,-1,-1,5,https://wikidata.org/entity/Q238723,144829999,False,-1,-1,-1,-1,-1,-1,96,1013,-1,-1,-1,-1
75101-P-147,SEBASTOPOL,"37 ter boulevard sebastopol, 75001, Paris",boulevard de Sébastopol,https://wikidata.org/entity/Q895080,boulevard,https://fr.parkindigo.com/parking/paris-75001/sebastopol-75010500,False,488,12,2,0,190,234.947.353,4.886.098.926,5,10,15,20,45,1,https://wikidata.org/entity/Q161741,141720265,True,259,2693,-1,-1,129,1346,90,942,-1,-1,-1,-1
75112-P-062,BERCY RELAIS MERCURE,"69 ter rue de bercy, 75012, Paris",Rue de Bercy,https://wikidata.org/entity/Q3450576,street,https://all.accor.com/hotel/0941/index.fr.shtml,False,157,4,0,0,190,238.153.136,4.883.817.784,3.6,7.2,10.8,14.4,30,12,https://wikidata.org/entity/Q171689,153465050,False,155,1860,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
75101-P-046,LOUVRE SAMARITAINE,"7 place du louvre, 75001, Paris",place du Louvre,https://wikidata.org/entity/Q3390637,place,https://fr.parkindigo.com/parking/paris-75001/louvre-samaritaine-75011200,False,569,13,6,60,190,234.052.914,4.885.948.368,5,10,15,20,45,1,https://wikidata.org/entity/Q161741,141720261,True,299,3109,149,1554,149,1554,104,1088,10,0.45,0.9,15.75
75119-P-102,MAIRIE DU 19EME,"5 m rue andre dubois, 75019, Paris",rue André-Dubois,https://wikidata.org/entity/Q3446949,street,https://www.saemes.fr/fr/parking/parking-mairie-du-19eme,True,237,1,0,0,190,238.175.476,48.883.421,-1,-1,-1,-1,-1,19,https://wikidata.org/entity/Q204622,144829999,False,-1,-1,-1,-1,-1,-1,72,720,-1,-1,-1,-1
75106-P-081,ANDRE HONNORAT,"8 bis rue auguste comte, 75006, Paris",rue Auguste-Comte,https://wikidata.org/entity/Q3447025,street,https://fr.parkindigo.com/parking/paris-75006/andre-honnorat-75061700,True,326,0,0,0,190,233.797.566,4.884.422.067,-1,-1,-1,-1,-1,6,https://wikidata.org/entity/Q245546,-1,False,220,2200,-1,-1,-1,-1,150,1500,-1,-1,-1,-1
75104-P-116,RIVOLI SEBASTOPOL,"5 ter rue pernelle, 75004, Paris",rue Pernelle,https://wikidata.org/entity/Q3449461,street,https://www.saemes.fr/fr/parking/parking-rivoli-sebastopol,False,245,3,1,0,185,234.944.833,4.885.856.491,4.8,9.6,14.4,19.2,43.2,4,https://wikidata.org/entity/Q230127,142722993,False,264,2640,-1,-1,132,1320,106,1056,-1,0.45,0.85,14.85
75108-P-159,ROND POINT (GARAGE),"2 m rond point des champs elysees marcel dassault, 75008, Paris",rond-point des Champs-Élysées-Marcel-Dassault,https://wikidata.org/entity/Q3441676,roundabout,https://fr.parkindigo.com/acheteruneplace/parking/paris-75008/rond-point-des-champs-elysees-75080400,True,330,0,0,0,190,231.104.798,4.886.932.421,-1,-1,-1,-1,-1,8,https://wikidata.org/entity/Q270230,144829999,True,293,2930,-1,-1,146,1460,102,1020,10,-1,-1,-1
75112-P-047,REUILLY DIDEROT,"30 ter rue de reuilly, 75012, Paris",rue de Reuilly,https://wikidata.org/entity/Q3451004,street,https://www.saemes.fr/fr/parking/parking-reuilly-diderot,False,135,3,2,15,350,238.725.815,4.884.654.591,4.3,8.6,12.9,17.2,38.7,12,https://wikidata.org/entity/Q171689,143458121,True,196,1970,-1,-1,98,985,76,788,18,0.4,0.8,13.5
75112-P-115,HECTOR MALOT,"61 quater avenue daumesnil, 75012, Paris",avenue Daumesnil,https://wikidata.org/entity/Q2873598,avenue,https://www.saemes.fr/fr/parking/parking-hector-malot,True,442,6,0,7,200,237.633.192,4.884.690.131,-1,-1,-1,-1,-1,12,https://wikidata.org/entity/Q171689,144829999,True,-1,-1,86,860,-1,-1,77,770,18,-1,-1,-1
75104-P-124,BAUDOYER,"25 ter rue de rivoli, 75004, Paris",rue de Rivoli,https://wikidata.org/entity/Q141747,street,http://realpark.fr/parking/baudoyer.html,False,317,6,0,6,195,235.539.936,4.885.647.646,4.8,9.5,14.6,18.8,39.6,4,https://wikidata.org/entity/Q230127,144171819,True,249,2500,-1,-1,-1,-1,100,-1,-1,-1,-1,-1
75107-P-060,INVALIDES,"24 rue de constantine, 75007, Paris",rue de Constantine,https://wikidata.org/entity/Q3450684,street,https://fr.parkindigo.com/parking/paris-75007/invalides-75070100,False,1006,3,0,5,190,231.465.998,4.885.928.758,5,10,15,20,45,7,https://wikidata.org/entity/Q259463,147053647,False,278,2891,139,1445,139,1445,97,1011,10,0.45,0.9,15.75
75117-P-035,PORTE DE CHAMPERRET,"6 ter avenue de la porte de champerret, 75017, Paris",avenue de la Porte-de-Champerret,https://wikidata.org/entity/Q2874021,avenue,https://fr.parkindigo.com/parking/paris-75017/porte-de-champerret-75171600,False,1473,31,6,5,190,228.784.794,4.888.630.953,4.6,9.2,13.8,18.4,41.4,17,https://wikidata.org/entity/Q197297,141720271,True,164,1705,-1,-1,114,1193,81,842,10,0.4,0.8,14.4
75109-P-023,ANVERS,"41 bis boulevard de rochechouart, 75009, Paris",boulevard Marguerite-de-Rochechouart,https://wikidata.org/entity/Q2504703,boulevard,https://www.sags.fr/parking-paris/paris-anvers.html,False,506,11,4,15,190,234.401.878,488.826.603,4.4,8.8,13.2,17.6,39.6,9,https://wikidata.org/entity/Q275118,142810511,True,250,2500,-1,-1,175,1750,87.5,875,10,0.4,0.75,12.65
75117-P-064,PORTE MAILLOT,"16 place de la porte maillot, 75017, Paris",place de la Porte-Maillot,https://wikidata.org/entity/Q3390388,place,https://fr.parkindigo.com/parking/paris-75017/porte-maillot-75172200,False,944,38,3,0,190,228.226.367,4.887.873.861,4.6,9.2,13.8,18.4,41.4,17,https://wikidata.org/entity/Q197297,141720260,True,201,2090,100,1045,100,1045,70,731,10,0.4,0.8,14.4
75112-P-029,BASTILLE,"29 boulevard de la bastille, 75012, Paris",boulevard de la Bastille,https://wikidata.org/entity/Q2922015,boulevard,https://fr.parkindigo.com/parking/paris-75012/bastille-75121100,False,447,5,50,78,190,236.818.245,4.884.948.604,4.4,8.8,13.2,17.6,39.6,12,https://wikidata.org/entity/Q171689,143467415,True,203,2030,101,1010,101,1010,71,710,10,0.4,0.8,13.5
75113-P-163,WATT (RIVE GAUCHE),"50 rue watt, 75013, Paris",rue Watt,https://wikidata.org/entity/Q3450393,street,https://fr.parkindigo.com/parking/paris-75013/zac-rive-gauche-watt-75131300,True,604,17,0,10,190,237.867.831,4.882.650.967,-1,-1,-1,-1,-1,13,https://wikidata.org/entity/Q175129,144066050,True,95,988,47,494,47,494,33,345,10,-1,-1,-1
75105-P-133,CASERNE MONGE,"17 ter rue gracieuse, 75005, Paris",rue Gracieuse,https://wikidata.org/entity/Q3448178,street,https://www.saemes.fr/fr/parking/parking-monge,True,359,5,0,0,190,235.141.587,4.884.253.826,-1,-1,-1,-1,-1,5,https://wikidata.org/entity/Q238723,144829999,False,212,2160,106,-1,-1,-1,106,1080,-1,-1,-1,-1
75118-P-073,DAMREMONT,"73 ter rue damremont, 75018, Paris",rue Damrémont,https://wikidata.org/entity/Q3447599,street,https://www.sags.fr/parking-paris/paris-damremont.html,True,139,0,0,0,220,233.575.449,488.928.896,-1,-1,-1,-1,-1,18,https://wikidata.org/entity/Q200126,-1,False,220,2200,-1,-1,143,1430,77,770,10,-1,-1,-1
75116-P-013,EYLAU,"6 avenue d eylau, 75016, Paris",avenue d'Eylau,https://wikidata.org/entity/Q2873891,avenue,https://fr.parkindigo.com,True,174,0,0,0,190,228.614.446,488.637.666,-1,-1,-1,-1,-1,16,https://wikidata.org/entity/Q194420,141720260,False,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
75106-P-139,SAINT MICHEL,"5 place saint andre des arts, 75006, Paris",place Saint-André-des-Arts,https://wikidata.org/entity/Q3390073,place,https://fr.parkindigo.com/parking/paris-75005/place-saint-michel-75050200,False,428,9,3,4,190,234.332.133,4.885.292.358,5.2,10.4,15.6,20.8,46.8,6,https://wikidata.org/entity/Q245546,156244432,True,366,3806,183,1903,183,1903,128,1332,10,0.45,0.9,16.2
75108-P-015,HOCHE,"14 quater avenue hoche, 75008, Paris",avenue Hoche,https://wikidata.org/entity/Q2873695,avenue,https://fr.parkindigo.com/parking/paris-75008/hoche-75080500,False,954,10,0,0,190,230.215.928,4.887.684.389,5.2,10.4,15.6,20.8,46.8,8,https://wikidata.org/entity/Q270230,141720271,True,322,3348,-1,-1,-1,-1,177,1841,-1,-1,-1,-1
75112-P-103,FAUBOURG SAINT ANTOINE,"83 ter avenue ledru rollin, 75012, Paris",avenue Ledru-Rollin,https://wikidata.org/entity/Q2873739,avenue,https://fr.parkindigo.com/parking/paris-75012/faubourg-saint-antoine-75120200,False,371,6,4,0,190,237.556.129,4.885.084.205,5,10,15,20,45,12,https://wikidata.org/entity/Q171689,144755243,True,257,2672,-1,-1,-1,-1,140,1456,-1,-1,-1,-1
75107-P-058,JOFFRE,"2 ter place joffre, 75007, Paris",Place Joffre,https://wikidata.org/entity/Q100360629,place,https://fr.parkindigo.com/parking/paris-75007/joffre-ecole-militaire-75070200,False,938,1,0,6,190,230.520.683,4.885.422.717,5,10,15,20,45,7,https://wikidata.org/entity/Q259463,145484330,False,211,2194,105,1097,105,1097,-1,-1,10,0.45,0.9,15.75
75115-P-021,MAIRIE DU 15 EME LECOURBE,"147 rue lecourbe, 75015, Paris",rue Lecourbe,https://wikidata.org/entity/Q3448815,street,https://www.saemes.fr/fr/parking/parking-mairie-du-15eme-lecourbe,False,275,6,4,17,190,229.956.743,4.884.162.434,4.3,8.6,12.9,17.2,38.7,15,https://wikidata.org/entity/Q191066,148285708,True,240,2400,120,1200,120,1200,84,840,12,0.4,0.8,13.5
75108-P-024,CONCORDE,"14 place de la concorde, 75008, Paris",place de la Concorde,https://wikidata.org/entity/Q189503,place,https://fr.parkindigo.com/parking/paris-75008/place-de-la-concorde-75082100,False,836,13,0,0,190,232.000.365,4.886.617.169,5,10,15,20,45,8,https://wikidata.org/entity/Q270230,143128070,False,249,2589,124,1294,124,1294,87,906,10,0.45,0.9,15.75
75117-P-108,JOUFFROY,"6 ter rue jouffroy d abbans, 75017, Paris",rue Jouffroy-d'Abbans,https://wikidata.org/entity/Q3448601,street,https://fr.parkindigo.com/parking/paris-75017/jouffroy-75170500,True,209,0,0,0,190,231.320.136,4.888.716.223,-1,-1,-1,-1,-1,17,https://wikidata.org/entity/Q197297,141720271,False,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
75113-P-151,BIBLIOTHEQUE F. MITTERRAND (RIVE GAUCHE),"16 rue emile durkheim, 75013, Paris",rue Émile-Durkheim,https://wikidata.org/entity/Q3452693,street,https://fr.parkindigo.com/parking/paris-75013/bibliotheque-francois-mitterrand-75131100,False,1018,21,3,20,190,237.732.985,4.883.224.971,4.2,8.4,12.6,16.8,37.8,13,https://wikidata.org/entity/Q175129,144066050,True,248,2579,124,1289,124,1289,86,902,10,0.4,0.75,13.05
75106-P-161,SAINT SULPICE (GARAGE),"8 m place saint sulpice, 75006, Paris",place Saint-Sulpice,https://wikidata.org/entity/Q2735858,place,https://fr.parkindigo.com/parking/paris-75006/saint-sulpice-75060200,True,196,0,42,15,190,233.355.468,488.511.911,-1,-1,-1,-1,-1,6,https://wikidata.org/entity/Q245546,143254557,True,379,3941,189,1970,189,1970,132,1379,10,-1,-1,-1
75108-P-110,ALMA GEORGE V,"6 ter avenue george v, 75008, Paris",avenue George-V,https://wikidata.org/entity/Q2873657,avenue,https://fr.parkindigo.com/parking/paris-75008/alma-george-v-75080700,False,502,6,8,0,190,230.157.196,4.886.532.864,5.4,10.8,16.2,21.6,48.6,8,https://wikidata.org/entity/Q270230,142250483,True,334,3473,-1,-1,167,1736,116,1215,-1,-1,-1,-1
